bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005620033,596 COURT STREET,5000.0,M1-1,Industrial & Manufacturing,,30.0,5000.0,0.0,1.0,8.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
3005980021,83 COFFEY STREET,2700.0,M1-1,Public Facilities & Institutions,,30.0,2700.0,0.0,0.0,4.0,13.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,2.0
3005080023,33 BOWNE STREET,3950.0,M1-1,Industrial & Manufacturing,,30.0,3950.0,0.0,1.0,6.0,19.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0
3005870027,67 DIKEMAN STREET,1600.0,R5,One & Two Family Buildings,,30.0,0.0,2000.0,0.0,0.0,0.0,2.0,5.0,27.5,5.0,0.0,0.0,0.0,0.0
3005390021,84 WEST 9 STREET,4134.0,R5,Multi-Family Walk-Up Buildings,C1-2,30.0,4134.0,5167.5,1.0,6.0,20.0,6.0,16.0,44.0,43.0,0.0,0.0,0.0,0.0
3005200016,24 LUQUER STREET,2000.0,M1-1,Vacant Land,,30.0,2000.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005300013,88 VISITATION PLACE,27500.0,R5,Public Facilities & Institutions,,30.0,0.0,34375.0,0.0,0.0,0.0,45.0,122.0,22.0,0.0,0.0,54.0,0.0,54.0
3005910001,537 COLUMBIA STREET,88000.0,M1-1,Vacant Land,,30.0,88000.0,0.0,29.0,146.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3006110001,460 VAN BRUNT STREET,68960.0,M1-1/R5,,,60.0,68960.0,86200.0,22.0,114.0,344.0,113.0,308.0,11.0,0.0,0.0,5.0,0.0,5.0
3005760042,70 DIKEMAN STREET,1680.0,R5,One & Two Family Buildings,,30.0,0.0,2100.0,0.0,0.0,0.0,2.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0
